,Lemma,target_canonical,target_relemmatized,emlap_instances_N,noscemus_instances_N,cc_instances_N,grela_instances_N
2400,Segax,segax,segax,0,4,0,4
2399,Sedma,sedma,sedma,0,2,0,2
2398,"Sedina, seden","sedina, seden",sedinus sedes,0,0,0,0
269,Alcara,alcara,alcara,0,4,0,4
32,Pyritae aurei coloris,pyritae aurei coloris,pyritus aureus color,0,5,0,5
886,Cauum lignorum coniunctorum,cauum lignorum coniunctorum,cauum lignum coniunctum,0,1,0,1
265,Alcadp,alcadp,alcadp,0,2,0,2
263,Albula,albula,albula,0,117,134,251
889,Cementare,cementare,cementare,0,3,0,3
276,Alcocl,alcocl,alcocl,0,1,0,1
275,Alcimad,alcimad,alcimad,0,1,0,1
891,Cementerium,cementerium,cementerium,0,1,0,1
270,Alcebris viuum,alcebris uiuum,alcebr uiuum,0,3,0,3
284,Alcubd,alcubd,alcubd,0,1,0,1
283,Alcore,alcore,alcore,0,3,0,3
282,Alcor,alcor,alcor,0,45,0,45
268,Alcaol,alcaol,alcaol,0,2,0,2
2474,Sorus,sorus,sorus,0,43,25,68
821,Cancinpericon,cancinpericon,cancinpericon,0,2,0,2
2471,Sophia aurea,sophia aurea,sophia aureus,0,3,0,3
2485,Speculum album,speculum album,speculum albus,0,2,0,2
809,Cambill,cambill,cambill,0,2,0,2
2480,Spata lignea excoctorum,spata lignea excoctorum,spo ligneus excoquo,0,1,0,1
2479,Spata lignea,spata lignea,spo ligneus,0,2,0,2
2492,Spiritus,spiritus,spiritus,0,0,0,0
811,"Camet, Cames","camet, cames",cameo camis,0,0,0,0
2487,Speculum Indicum,speculum indicum,speculum index,0,3,0,3
2486,Speculum citrinum,speculum citrinum,speculum citrinus,0,3,0,3
2447,Simmitium,simmitium,simmitium,0,2,0,2
2436,Sidia,sidia,sidia,0,26,16,42
2434,Sibedata hirundinaria,sibedata hirundinaria,sibedo hirundinarius,0,1,0,1
813,Canales aquarii,canales aquarii,canalis aquarius,0,1,0,1
2432,Seulo,seulo,seulo,0,4,0,4
2443,Silices pellucidi,silices pellucidi,silex pellucidus,0,2,1,3
2439,Sigilliren,sigilliren,sigilliren,0,1,0,1
2438,Sigia,sigia,sigia,0,18,2,20
2453,Siphunculus orichalceus,siphunculus orichalceus,siphunculus orichalceus,0,2,0,2
2451,Sinopida,sinopida,sinopida,0,7,0,7
834,Capsa patens,capsa patens,capsa pateo,0,18,0,18
2449,Sinapisis,sinapisis,sinapisis,0,2,0,2
2437,Sifantis,sifantis,sifantis,0,2,0,2
2373,Schwelen,schwelen,schwelen,0,2,0,2
874,Catinus ferreus,catinus ferreus,catinus ferreus,0,7,0,7
2371,Schehendenigi,schehendenigi,schehendenigi,0,2,0,2
2370,Scalae excoctorum,scalae excoctorum,scalus excoquo,0,3,0,3
2368,Scacurculae,scacurculae,scacurculae,0,1,0,1
2367,Sbesten,sbesten,sbesten,0,2,0,2
2366,Saxum terminale,saxum terminale,saxum terminalis,0,10,0,10
2381,Scriba fodinarum,scriba fodinarum,scriba fodina,0,14,0,14
2380,Scorpius constrictus,scorpius constrictus,scorpius constringo,0,2,0,2
2379,Scorith,scorith,scorith,0,3,0,3
2377,Scorax,scorax,scorax,0,2,0,2
280,Alcone,alcone,alcone,0,6,16,22
2374,Scitona,scitona,scitona,0,1,0,1
875,Catma,catma,catma,0,2,0,2
2386,Seb immutati coloris,seb immutati coloris,seb immuto color,0,1,0,1
876,Catrobil,catrobil,catrobil,0,2,0,2
2384,Scuta tabesi,scuta tabesi,scutum tabesus,0,2,0,2
862,Catena ductaria,catena ductaria,catena ductarius,0,21,0,21
2382,Scriba partium,scriba partium,scriba pars,0,7,0,7
2397,Sedilia follium,sedilia follium,sedile follis,0,1,0,1
2396,Sedhe,sedhe,sedhe,0,1,0,1
2395,Sedenegi,sedenegi,sedenegi,0,4,0,4
2394,Seden,seden,seden,0,17,3,20
2376,Scopia stilla,scopia stilla,scopius stilla,0,1,0,1
893,Cenificatum,cenificatum,cenificatum,0,1,0,1
878,Cauales occludere,cauales occludere,caualis occludo,0,1,0,1
879,Cauda follium vectis,cauda follium uectis,cauda follis uectis,0,1,0,1
228,Afrob,afrob,afrob,0,2,0,2
880,Cauda vulpis rubricundi,cauda uulpis rubricundi,cauda uulpis rubricundus,0,1,0,1
225,Affrotron,affrotron,affrotron,0,2,0,2
224,Affronitrum,affronitrum,affronitrum,0,4,0,4
223,Affrodina,affrodina,affrodina,0,2,0,2
222,Affrengi,affrengi,affrengi,0,2,0,2
2412,Sendanegum,sendanegum,sendanegum,0,3,0,3
883,Cauernulae venarum,cauernulae uenarum,cauernula uena,0,3,0,3
873,Catinus arenarius,catinus arenarius,catinus arenarius,0,2,0,2
2408,Selsas,selsas,selsas,0,2,0,2
2407,Sella aenea,sella aenea,sella aeneus,0,5,0,5
2420,Septimen,septimen,septimen,0,3,0,3
2418,Sephiros,sephiros,sephiros,0,5,0,5
2416,Separatio per dilationem,separatio per dilationem,separatio per dilatio,0,1,0,1
870,Catini media pars,catini media pars,catinum medius pars,0,1,0,1
2428,Serpens spiritus castitatis,serpens spiritus castitatis,serpens spiritus castitas,0,3,0,3
2427,Seritis,seritis,seritis,0,1,9,10
872,Catinus aereus,catinus aereus,catinus aereus,0,6,0,6
2425,Sericiacum,sericiacum,sericiacum,0,2,0,2
2424,Serex,serex,serex,0,4,0,4
2409,Semafor,semafor,semafor,0,1,0,1
841,Caput follis,caput follis,caput follis,0,9,0,9
2589,Targar,targar,targar,0,2,0,2
845,Cardir,cardir,cardir,0,3,0,3
766,"Calciteosa, calcitheos","calciteosa, calcitheos",calciteosus calcitheus,0,0,0,0
2584,Tain,tain,tain,0,30,7,37
2583,Tabulata follium,tabulata follium,tabulatum follis,0,6,0,6
2533,Stomomatos,stomomatos,stomomatos,0,2,0,2
767,Calcitheos,calcitheos,calcitheos,0,5,0,5
768,Calcithos,calcithos,calcithos,0,2,0,2
2529,"Stipte, stiptera","stipte, stiptera",stipt stipter,0,0,0,0
2528,Stipites crassi,stipites crassi,stipes crassus,0,5,2,7
820,Cancelli,cancelli,cancelli,0,100,148,248
2538,Subcisiuum,subcisiuum,subcisiuum,0,7,7,14
2537,Stupio,stupio,stupio,0,2,3,5
2546,Succina grauida,succina grauida,succinum grauidus,0,1,0,1
2545,Succi efflorescentes,succi efflorescentes,succus effloresco,0,1,0,1
2544,Subuesperus,subuesperus,subuesperus,0,9,1,10
770,Calcocos,calcocos,calcocos,0,2,0,2
2554,Sui coloris Gishubelianum,sui coloris gishubelianum,sui color gishubelianus,0,1,0,1
771,Calcokeumenos,calcokeumenos,calcokeumenos,0,2,0,2
822,Candis longus,candis longus,cando longus,0,2,0,2
2496,Spodion,spodion,spodion,0,45,0,45
2494,Spiritus chymiae,spiritus chymiae,spiritus chymia,0,1,0,1
2527,Stipes chelas,stipes chelas,stipes chele,0,4,0,4
213,Aes rude natiuum,aes rude natiuum,aes rudis natiuus,0,1,0,1
212,Aes residuum,aes residuum,aes residuus,0,4,0,4
211,Aes natiuum flauum,aes natiuum flauum,aes natiuus flauus,0,1,0,1
13,Anaton,anaton,anaton,0,5,0,5
208,Aes ex panib,aes ex panib,aes ex panib,0,1,0,1
221,Afformas,afformas,afformas,0,1,0,1
220,Affidra,affidra,affidra,0,2,0,2
219,Affeos,affeos,affeos,0,3,2,5
218,Affenicum,affenicum,affenicum,0,1,0,1
215,Aespurum,aespurum,aespurum,0,1,0,1
839,Caput fodinarum,caput fodinarum,caput fodina,0,40,0,40
2577,Tabaisir,tabaisir,tabaisir,0,2,0,2
163,Acortinus,acortinus,acortinus,0,4,0,4
