,Lemma,target_canonical,target_relemmatized,emlap_instances_N,noscemus_instances_N,cc_instances_N,grela_instances_N
926,Chelonitis,chelonitis,chelonitis,0,16,8,24
2044,Os,os,os,0,0,0,0
2043,Orogamo,orogamo,orogamo,0,2,0,2
928,Christi pabulum,christi pabulum,christus pabulum,0,1,6,7
2041,Ornithae Cecias,ornithae cecias,ornithus cecias,0,1,0,1
2040,Orms,orms,orms,0,1,0,1
929,Chroma,chroma,chroma,0,12,46,58
1988,Obelkara,obelkara,obelkara,0,2,0,2
1987,Obelchera,obelchera,obelchera,0,1,0,1
930,Chrysocalcos,chrysocalcos,chrysocalcos,0,2,0,2
2010,Oleum vitrioli aurificatum,oleum uitrioli aurificatum,oleum uitriolum aurifico,0,2,0,2
1997,Odorifera medicamenta,odorifera medicamenta,odorifer medicamentum,0,1,1,2
1996,Ocra Graecis,ocra graecis,ocrum graeci,0,1,0,1
1994,Ocob,ocob,ocob,0,2,0,2
1991,Occidens stella,occidens stella,occidens stella,0,2,2,4
1990,Obrizum aurum,obrizum aurum,obrizus aurum,0,2,8,10
933,Chrysos,chrysos,chrysos,0,13,56,69
982,Cochleare album,cochleare album,cochleo albus,0,1,0,1
983,Cocilio,cocilio,cocilio,0,8,1,9
2013,Onix,onix,onix,0,16,42,58
984,Codax,codax,codax,0,31,0,31
2011,Oly,oly,oly,0,114,0,114
1982,Nuliadat,nuliadat,nuliadat,0,1,0,1
1634,Kyram,kyram,kyram,0,2,0,2
1633,Kymus,kymus,kymus,0,4,0,4
1632,Kymum vel Kyminum,kymum uel kyminum,kymum uel cyminum,0,2,0,2
1631,Kymolea,kymolea,kymolea,0,4,0,4
524,Argenti recrementum,argenti recrementum,argentum recrementum,0,4,0,4
523,Arfar,arfar,arfar,0,2,0,2
521,Arenas riuorum,arenas riuorum,arena riuus,0,5,0,5
520,Arenamen,arenamen,arenamen,0,2,0,2
728,Butiga,butiga,butiga,0,3,0,3
531,Argyros,argyros,argyros,0,8,13,21
416,Alzilat,alzilat,alzilat,0,1,0,1
529,Argillae dicuntur,argillae dicuntur,argillus dico,0,2,0,2
528,Argentum rude nigrum,argentum rude nigrum,argentum rudis niger,0,6,0,6
541,Asabon,asabon,asabon,0,2,0,2
538,Arthoicum siue Pannonium,arthoicum siue pannonium,arthoicus siue pannonius,0,2,0,2
537,Artetiscius licitur,artetiscius licitur,artetisciter lico,0,1,0,1
536,Artaueck,artaueck,artaueck,0,1,0,1
535,Arsenii,arsenii,arsenii,0,9,89,98
485,Aqua palaestina,aqua palaestina,aqua palaestinus,0,2,0,2
479,Aqua holsobon,aqua holsobon,aqua holsobon,0,2,0,2
1642,Laculculus,laculculus,laculculus,0,1,0,1
1641,Lacerta rubra,lacerta rubra,lacerta ruber,0,3,0,3
530,Argistata,argistata,argistata,0,1,0,1
1668,Lapidis fermentatio,lapidis fermentatio,lapis fermentatio,0,1,0,1
1667,Lapidis faciendi compendium,lapidis faciendi compendium,lapis facio compendium,0,1,0,1
1666,Lapidis digestio,lapidis digestio,lapis digestio,0,1,0,1
1665,Lapidis conficiendi pondus,lapidis conficiendi pondus,lapis conficio pondus,0,1,0,1
1663,Lapidis ablutio,lapidis ablutio,lapis ablutio,0,1,0,1
1677,Lapilli nigri maiusculi,lapilli nigri maiusculi,lapillus niger maiusculus,0,5,0,5
1676,Lapilli nigri magni,lapilli nigri magni,lapillus niger magnus,0,3,0,3
1675,Lapilli minuti,lapilli minuti,lapillus minutus,0,2,4,6
1673,Lapidis rubedo,lapidis rubedo,lapis rubedo,0,1,0,1
1672,Lapidis philosophici tempus,lapidis philosophici tempus,lapis philosophicus tempus,0,1,0,1
1671,Lapidis philos. solutio,lapidis philos. solutio,lapis philus solutio,0,0,0,0
1635,Kyua,kyua,kyua,0,5,0,5
675,Berrionis,berrionis,berrionis,0,2,0,2
1684,Lapis Asius,lapis asius,lapis asius,0,20,0,20
1683,Lapis Arabicus,lapis arabicus,lapis arabicus,0,14,0,14
1681,Lapis Adiz,lapis adiz,lapis adiz,0,1,0,1
1680,Lapillus fissilis aerosus,lapillus fissilis aerosus,lapillus fissilis aerosus,0,1,0,1
1678,Lapilli nigri parui,lapilli nigri parui,lapillus niger pareo,0,1,0,1
1693,Lapis famosus,lapis famosus,lapis famosus,0,2,0,2
1691,Lapis ex perca,lapis ex perca,lapis ex perca,0,1,0,1
1690,Lapis ex cancro,lapis ex cancro,lapis ex cancer,0,1,0,1
1688,Lapis carpionis,lapis carpionis,lapis carpio,0,5,1,6
726,Burina,burina,burina,0,3,2,5
1670,Lapidis philos. calcinatio,lapidis philos. calcinatio,lapis philus calcinatio,0,0,0,0
1620,Koboltum,koboltum,koboltum,0,3,0,3
1619,Kises,kises,kises,0,3,0,3
722,Bulbus bulbi,bulbus bulbi,bulbus bulbus,0,2,0,2
1616,Kazdir,kazdir,kazdir,0,4,0,4
1615,Kaysir,kaysir,kaysir,0,2,0,2
1614,Kayl,kayl,kayl,0,5,0,5
723,Bulga,bulga,bulga,0,64,170,234
1628,Kymenna,kymenna,kymenna,0,3,0,3
1627,Kybrius,kybrius,kybrius,0,2,0,2
1626,Kuria vel kymia,kuria uel kymia,kuria uel kymius,0,1,0,1
731,Cabalatar,cabalatar,cabalatar,0,2,0,2
725,Burac,burac,burac,0,2,0,2
1623,Kost,kost,kost,0,297,0,297
1622,Konis,konis,konis,0,25,4,29
1572,Incuba,incuba,incuba,0,4,4,8
1569,Incilia,incilia,incilia,0,19,9,28
1567,Incarnatiua chirurgorum,incarnatiua chirurgorum,incarnatiuus chirurgus,0,1,0,1
710,Bracium,bracium,bracium,0,2,16,18
1581,Ingestores,ingestores,ingestores,0,8,0,8
1580,Infundiren,infundiren,infundiren,0,1,0,1
1578,Influentia naturalis,influentia naturalis,influentia naturalis,0,1,3,4
1575,Indicum spuma,indicum spuma,index spuma,0,1,0,1
724,Bulgarum gubernator,bulgarum gubernator,bulga gubernator,0,4,0,4
1650,Lamina curuata excoctorum,lamina curuata excoctorum,lamina curuo excoquo,0,2,0,2
1649,Lamare lampe,lamare lampe,lamarus lampe,0,1,0,1
1648,Lamare,lamare,lamare,0,5,3,8
1647,Lamac,lamac,lamac,0,2,0,2
1661,Lapides Gaeodes durus,lapides gaeodes durus,lapis gaeodes durus,0,1,0,1
1660,Lapides colorati,lapides colorati,lapis coloro,0,3,7,10
733,Cabebi,cabebi,cabebi,0,3,0,3
1656,Lans,lans,lans,0,122,16,138
1655,Laminae foramine plenae,laminae foramine plenae,lamina foramen plenus,0,11,0,11
1654,Laminae ferreae pars,laminae ferreae pars,laminus ferreus pars,0,3,0,3
1605,Kamar,kamar,kamar,0,5,0,5
1621,Koma,koma,koma,0,108,47,155
1603,Kald,kald,kald,0,3,2,5
718,Brumati terreum,brumati terreum,brumates terreus,0,1,0,1
1598,Iuratus partium venditor,iuratus partium uenditor,iuratus pars uenditor,0,1,0,1
1613,Katimia,katimia,katimia,0,5,0,5
1612,Kasam,kasam,kasam,0,3,3,6
1611,Kartina,kartina,kartina,0,2,0,2
721,Buccatum,buccatum,buccatum,0,3,0,3
1609,Kar,kar,kar,0,129,28,157
1608,Kaprili,kaprili,kaprili,0,4,0,4
1607,Kanfor,kanfor,kanfor,0,2,0,2
1606,Kamir,kamir,kamir,0,3,0,3
1604,Kalnos,kalnos,kalnos,0,3,0,3
1809,Mallei species,mallei species,malleus species,0,2,6,8
1808,Maleck,maleck,maleck,0,1,0,1
1806,Magnesia communiter,magnesia communiter,magnesia communiter,0,1,0,1
1821,Marched,marched,marched,0,2,31,33
1005,Comisdi,comisdi,comisdi,0,2,0,2
1818,Marcasita alba,marcasita alba,marcasita albus,0,1,0,1
1816,Manheb,manheb,manheb,0,2,0,2
1764,Luban,luban,luban,0,4,2,6
1761,Lorus,lorus,lorus,0,66,23,89
1773,Lutum magra,lutum magra,lutum mager,0,2,0,2
1718,Leo aurum,leo aurum,leo aurum,0,2,1,3
1770,Lutiren,lutiren,lutiren,0,1,0,1
1047,Cortex aeris,cortex aeris,cortex aer,0,5,2,7
1766,Ludus lapis,ludus lapis,ludus lapis,0,1,0,1
1781,Machinae haustoriae,machinae haustoriae,machinus haustoria,0,1,0,1
1780,"Machina, Axia","machina, axia",machina axius,0,0,0,0
1778,Machal,machal,machal,0,4,1,5
1050,Coticula experiri aurum,coticula experiri aurum,coticulus experior aurum,0,1,0,1
1775,Lutum stellae,lutum stellae,lutum stella,0,3,1,4
1774,Lutum sigillatum,lutum sigillatum,lutum sigillatum,0,8,0,8
1038,Corium terrae,corium terrae,corium terra,0,8,0,8
1788,Magister ferrum excoquens,magister ferrum excoquens,magister ferrum excoquo,0,2,0,2
1771,Lutum armenicum,lutum armenicum,lutum armenicus,0,1,0,1
415,Alzemafor,alzemafor,alzemafor,0,1,0,1
414,Alzegi,alzegi,alzegi,0,2,0,2
1837,Masarea,masarea,masarea,0,5,0,5
1836,Maruch oleum,maruch oleum,maruch oleum,0,2,0,2
1835,Martegon,martegon,martegon,0,2,0,2
1834,Martariolum,martariolum,martariolum,0,1,0,1
1830,Marmora viridia,marmora uiridia,marmor uiridis,0,3,0,3
1843,Materia lapillorum expers,materia lapillorum expers,materia lapillus expers,0,4,0,4
963,Claces,claces,claces,0,1,0,1
1839,Masellum,masellum,masellum,0,2,0,2
1021,Consolida aurea sophia,consolida aurea sophia,consolidus aureus sophia,0,1,0,1
1810,Malleo percussum dilatare,malleo percussum dilatare,malleus percituor dilato,0,3,0,3
1848,Mathedoram,mathedoram,mathedoram,0,2,0,2
1847,Materiam metallicam discernere,materiam metallicam discernere,materia metallicus discerno,0,5,0,5
1846,Materia sapphirea,materia sapphirea,materia sapphireus,0,2,0,2
1007,Commissurae saxorum,commissurae saxorum,commissura saxum,0,16,8,24
1008,Compass,compass,compass,0,11,25,36
1012,Conder,conder,conder,0,7,2,9
1792,Magisterium Parac,magisterium parac,magisterium parac,0,1,0,1
1803,Magna capsa lignea,magna capsa lignea,magnus capsa ligneus,0,2,0,2
2802,Zafran,zafran,zafran,0,2,0,2
1812,Manbruck,manbruck,manbruck,0,2,0,2
1811,Maltheorum,maltheorum,maltheorum,0,2,0,2
1849,Mathematicha,mathematicha,mathematicha,0,1,0,1
499,Aquillo,aquillo,aquillo,0,1,0,1
497,Aquastor visio,aquastor uisio,aquastor uisio,0,1,0,1
508,Archates,archates,archates,0,1,0,1
453,Anora,anora,anora,0,3,1,4
451,Anodus nutrimentum,anodus nutrimentum,anodus nutrimentum,0,1,0,1
1035,Cor,cor,cor,0,0,0,0
1709,Laton cuprum,laton cuprum,laton cuprum,0,1,0,1
1708,"Laterium, lixiuium","laterium, lixiuium",laterium lixiuium,0,0,0,0
1706,Later lictro,later lictro,later lictrum,0,1,0,1
1705,Latanea,latanea,latanea,0,2,0,2
1040,Corocrum,corocrum,corocrum,0,5,0,5
1703,Lapis Thracias,lapis thracias,lapis thracius,0,29,0,29
670,Beleson,beleson,beleson,0,0,0,0
1715,Lempnias lempnia,lempnias lempnia,lempnius lempnia,0,1,0,1
1714,Lempnias calcis,lempnias calcis,lempnias calx,0,2,0,2
1713,Lempnias,lempnias,lempnias,0,8,0,8
1712,Lempnia,lempnia,lempnia,0,5,0,5
1725,Leucasia,leucasia,leucasia,0,2,5,7
671,Bercos,bercos,bercos,0,2,6,8
1723,Lepos calcis,lepos calcis,lepos calx,0,2,0,2
1722,Lepi ferrei,lepi ferrei,lepus ferreus,0,0,0,0
1719,Leo citrinus foliatus,leo citrinus foliatus,leo citrinus foliatus,0,2,0,2
1704,Lapsus demotiuus,lapsus demotiuus,lapsus demotiuus,0,1,0,1
1042,Corpus,corpus,corpus,0,0,0,0
1782,Machinae spiritales,machinae spiritales,machina spiritalis,0,12,0,12
1731,Lignea bractea rotundata,lignea bractea rotundata,ligneus bractea rotundo,0,3,0,3
1730,Ligna statuta,ligna statuta,lignum statuo,0,1,9,10
1728,Libra statuta,libra statuta,libra statuo,0,5,2,7
1726,Libonotus,libonotus,libonotus,0,20,17,37
1739,Liqua mumia,liqua mumia,liquo mumia,0,2,0,2
1749,Liquor mumiae degummi,liquor mumiae degummi,liquor mumia degumus,0,1,0,1
1045,Corrosina,corrosina,corrosina,0,1,0,1
1030,Contus fossorum,contus fossorum,contus fossor,0,3,0,3
1743,Liquefactio simplex,liquefactio simplex,liquefactio simplex,0,2,0,2
501,Aracon,aracon,aracon,0,5,0,5
1756,Litim,litim,litim,0,5,0,5
1754,Lithargyrium Parac,lithargyrium parac,lithargyrius parac,0,1,0,1
1031,Contus tertius,contus tertius,contus tertius,0,1,0,1
1751,Liramentum,liramentum,liramentum,0,1,0,1
1032,Contus vncinatus,contus uncinatus,contus uncinatus,0,37,0,37
1700,Lapis Quiris,lapis quiris,lapis quiris,0,1,0,1
1699,Lapis putrefactio,lapis putrefactio,lapis putrefactio,0,1,0,1
1695,Lapis in chymia,lapis in chymia,lapis in chymia,0,2,0,2
1694,Lapis fossilis aerosus,lapis fossilis aerosus,lapis fossilis aerosus,0,1,0,1
493,Aqua valens,aqua ualens,aqua ualo,0,10,0,10
490,Aqua Salmatina,aqua salmatina,aqua salmatinus,0,2,0,2
1742,Liquefactio probatoria,liquefactio probatoria,liquefactio probatorius,0,1,0,1
